instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_actual,hum_actual,day_type,casual_pct,registered_pct
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,9.84,81.0,Weekend/Holiday,17.647058823529413,76.47058823529412
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,9.02,80.0,Weekend/Holiday,19.51219512195122,78.04878048780488
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,9.02,80.0,Weekend/Holiday,15.151515151515152,81.81818181818183
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,9.84,75.0,Weekend/Holiday,21.428571428571427,71.42857142857143
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,9.84,75.0,Weekend/Holiday,0.0,50.0
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,9.84,75.0,Weekend/Holiday,0.0,50.0
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,9.02,80.0,Weekend/Holiday,66.66666666666666,0.0
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,8.200000000000001,86.0,Weekend/Holiday,25.0,50.0
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,9.84,75.0,Weekend/Holiday,11.11111111111111,77.77777777777779
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,13.120000000000001,76.0,Weekend/Holiday,53.333333333333336,40.0
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,15.58,76.0,Weekend/Holiday,32.432432432432435,64.86486486486487
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,14.76,81.0,Weekend/Holiday,45.614035087719294,52.63157894736842
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,17.22,77.0,Weekend/Holiday,34.11764705882353,64.70588235294117
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,18.86,72.0,Weekend/Holiday,49.473684210526315,49.473684210526315
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,18.86,72.0,Weekend/Holiday,32.71028037383177,66.35514018691589
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,18.04,77.0,Weekend/Holiday,36.03603603603604,63.06306306306306
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,17.22,82.0,Weekend/Holiday,43.61702127659575,55.319148936170215
